,Adaptor and Primer Removal,,,,,,Filtering,,,,,,,,,,,
,samples,raw_seqs,prefiltered_seqs,adaptorremoved_seqs,primerremoved_seqs,fractionOfRawDataInFinal_seqs,input,filtered,nonchim,total.loss.proportion,beforeLengthFilter,beforeDecontam,afterDecontam,fungiOnly,nonEmpty,afterPrevFilter,afterLocationFilter_Final,Final Fraction Remaining
1,Ha-Po-01_1.fastq.gz,22644,22614,22614,22614,0.998675146,22614,20313,19786,0.101751128,19786,19786,19786,19786,19786,19344,19344,0.854266031
2,Ha-Po-02_1.fastq.gz,35282,35232,35232,35232,0.998582847,35232,30397,29602,0.137233197,29602,29602,29602,29210,29210,21972,21972,0.622753812
3,Ha-Po-03_1.fastq.gz,19918,19896,19896,19896,0.998895471,19896,17892,17892,0.100723764,17892,17892,17892,17892,17892,16737,16737,0.84029521
4,Ha-Po-04_1.fastq.gz,17889,17840,17840,17840,0.997260887,17840,15525,15525,0.129764574,15525,15525,15525,15525,15525,14173,14173,0.792274582
5,Ha-Po-05_1.fastq.gz,66796,66741,66741,66741,0.999176597,66741,57474,57474,0.138850182,57474,57474,57474,57474,57474,57471,57471,0.860395832
6,Ha-Po-06_1.fastq.gz,69240,69149,69149,69149,0.998685731,69149,60548,60548,0.124383577,60548,60548,60548,60548,60548,60548,60548,0.874465627
7,Ha-Po-07_1.fastq.gz,29201,29157,29157,29157,0.998493202,29157,25181,25181,0.136365195,25181,25181,25181,25181,25181,25166,25166,0.861819801
8,Ha-Po-08_1.fastq.gz,68715,68634,68634,68634,0.998821218,68634,60360,57926,0.120552496,57926,57926,57926,57926,57926,56513,56513,0.822425962
9,Ha-Po-09_1.fastq.gz,68319,68248,68248,68248,0.998960758,68248,59698,59698,0.125278396,59698,59698,59698,59698,59698,59681,59681,0.873563723
10,Ha-Po-10_1.fastq.gz,38982,38922,38922,38922,0.998460828,38922,34287,34098,0.119084322,34098,34098,34098,34098,34098,28932,28932,0.742188702
11,Ha-Po-11_1.fastq.gz,75326,75253,75253,75253,0.999030879,75253,66240,66240,0.119769312,66240,66240,66240,66240,66240,66223,66223,0.879151953
12,Ha-Po-12_1.fastq.gz,56083,56030,56030,56030,0.999054972,56030,49369,49369,0.118882741,49369,49369,49369,49369,49369,49318,49318,0.879375212
13,Ha-Po-13_1.fastq.gz,57723,57662,57662,57662,0.998943229,57662,51534,49765,0.106274496,49765,49765,49765,49765,49765,49743,49743,0.861753547
14,Ha-Po-14_1.fastq.gz,63884,63832,63832,63832,0.999186025,63832,57660,55411,0.096691315,55411,55411,55411,55411,55411,55391,55391,0.867055914
15,Ha-Po-15_1.fastq.gz,47332,47283,47283,47283,0.99896476,47283,41355,40252,0.125372756,40252,40252,40252,40252,40252,40250,40250,0.850376067
16,Ha-Po-16_1.fastq.gz,56049,55991,55991,55991,0.998965191,55991,49649,48290,0.113268204,48290,48290,48290,48290,48290,48093,48093,0.858052775
17,Ha-Po-17_1.fastq.gz,31192,31164,31164,31164,0.999102334,31164,28400,28147,0.088692081,28147,28147,28147,28147,28147,27562,27562,0.883624006
18,Ha-Po-18_1.fastq.gz,46146,46090,46090,46090,0.99878646,46090,40978,40927,0.11091343,40927,40927,40927,40927,40927,40166,40166,0.870411303
19,Ha-Po-19_1.fastq.gz,55431,55378,55378,55378,0.999043856,55378,49006,49006,0.115063744,49006,49006,49006,49006,49006,48811,48811,0.880572243
20,Ha-Po-20_1.fastq.gz,52608,52554,52554,52553,0.998954532,52553,47075,47075,0.104237627,47075,47075,47075,47075,47075,47075,47075,0.894825882
21,Jo-Po-01_1.fastq.gz,11030,11010,11010,11010,0.998186763,11010,9392,9345,0.146957312,9345,9345,9345,9345,9345,9165,9165,0.830915684
22,Jo-Po-02_1.fastq.gz,28398,28370,28370,28370,0.999014015,28370,24997,24436,0.118893197,24436,24436,24436,24436,24436,22990,22990,0.809564054
23,Jo-Po-03_1.fastq.gz,44111,44071,44071,44071,0.999093197,44071,37662,33981,0.145424429,33981,33981,33981,33981,33981,32798,32798,0.743533359
24,Jo-Po-04_1.fastq.gz,62763,62700,62700,62700,0.998996224,62700,55837,50779,0.109457735,50779,50779,50779,50779,50779,46997,46997,0.748801045
25,Jo-Po-05_1.fastq.gz,35246,35216,35216,35216,0.99914884,35216,30415,28046,0.136330077,28046,28046,28046,28046,28046,27187,27187,0.77134994
26,Jo-Po-06_1.fastq.gz,35520,35469,35469,35469,0.998564189,35469,30999,29855,0.126025543,29855,29855,29855,29855,29855,27392,27392,0.771171171
27,Jo-Po-07_1.fastq.gz,65950,65873,65873,65873,0.998832449,65873,57098,57098,0.133210875,57098,57098,57098,57098,57098,57080,57080,0.86550417
28,Jo-Po-08_1.fastq.gz,62123,62068,62068,62068,0.99911466,62068,55064,55064,0.112843978,55064,55064,55064,55064,55064,55064,55064,0.886370587
29,Jo-Po-09_1.fastq.gz,51387,51343,51343,51343,0.999143752,51343,44727,39352,0.128858851,39352,39352,39352,39352,39352,39352,39352,0.765796797
30,Jo-Po-10_1.fastq.gz,52859,52815,52815,52815,0.999167597,52815,46745,41347,0.114929471,41347,41347,41347,41347,41347,41339,41339,0.782061711
31,Jo-Po-11_1.fastq.gz,81102,81010,81010,81010,0.998865626,81010,70364,61293,0.131415875,61293,61293,61293,61293,61293,61209,61209,0.754716283
32,Jo-Po-12_1.fastq.gz,54281,54217,54217,54216,0.998802528,54216,46805,42579,0.136693965,42579,42579,42579,42579,42579,42547,42547,0.783828596
33,Jo-Po-13_1.fastq.gz,60331,60253,60253,60253,0.998707132,60253,51353,46320,0.147710487,46320,46320,46320,46320,46320,44253,44253,0.733503506
34,Jo-Po-14_1.fastq.gz,72475,72380,72380,72380,0.998689203,72380,63853,59551,0.117808787,59551,59551,59551,59512,59512,52901,52901,0.729920662
35,Jo-Po-15_1.fastq.gz,64993,64927,64927,64927,0.998984506,64927,56691,51261,0.126850155,51261,51261,51261,51261,51261,51260,51260,0.788700322
36,Jo-Po-16_1.fastq.gz,57433,57383,57383,57383,0.99912942,57383,48996,44618,0.14615827,44618,44618,44618,44618,44618,44618,44618,0.77687044
37,Jo-Po-17_1.fastq.gz,85551,85482,85482,85482,0.999193464,85482,76010,64312,0.110806954,64312,64312,64312,64312,64312,64078,64078,0.749003518
38,Jo-Po-18_1.fastq.gz,60669,60605,60605,60605,0.998945096,60605,54027,45664,0.108538899,45664,45664,45664,45664,45664,45431,45431,0.748833836
39,Jo-Po-19_1.fastq.gz,26892,26862,26862,26862,0.998884427,26862,23305,23062,0.132417542,23062,23062,23062,23062,23062,20094,20094,0.747211066
