"","Sample <- row.names(meta)","beforeLengthFilter","beforeDecontam","afterDecontam","fungiOnly","nonEmpty","afterPrevFilter","afterLocationFilter_Final"
"1","Pa-Blank-01",14,14,14,14,14,0,0
"2","Pa-Blank-02",10,10,10,10,10,0,0
"3","Pa-Blank-03",4,4,4,4,4,0,0
"4","Pa-Blank-04",23,23,23,23,23,0,0
"5","Pa-Blank-05",43,43,42,42,42,0,0
"6","Pa-Blank-06",5,5,5,5,5,0,0
"7","Pa-HA-01",3889,3889,3889,3889,3889,1730,1730
"8","Pa-HA-02",2677,2677,2677,2260,2260,1445,1445
"9","Pa-HA-03",323,323,323,323,323,43,43
"10","Pa-HA-04",104,104,104,104,104,49,49
"11","Pa-HA-05",958,958,958,958,958,200,200
"12","Pa-JO-01",1179,1179,1179,1179,1179,687,687
"13","Pa-JO-02",1578,1578,1472,1472,1472,1030,1030
"14","Pa-JO-03",2650,2650,2650,2334,2334,906,906
"15","Pa-JO-04",2231,2231,2231,2231,2231,1545,1545
"16","Pa-JO-05",4339,4339,4339,4036,4036,1225,1225
"17","Pa-JO-06",2028,2028,2028,2028,2028,686,686
"18","Pa-JO-07",2337,2337,2337,2337,2337,1732,1732
"19","Pa-JO-08",6478,6478,6478,6478,6478,4805,4805
"20","Pa-JO-09",2937,2937,2937,2937,2937,2351,2351
"21","Pa-KU-01",5315,5315,5315,5315,5315,2802,2802
"22","Pa-KU-02",7071,7071,7071,6811,6811,1341,1341
"23","Pa-KU-03",2422,2422,2422,1959,1959,224,224
"24","Pa-KU-04",2626,2626,2626,2626,2626,2442,2442
"25","Pa-KU-05",2668,2668,2668,2668,2668,1714,1714
"26","Pa-KU-06",4585,4585,4585,4585,4585,1464,1464
"27","Pa-KU-07",2431,2431,2431,2431,2431,1150,1150
"28","Pa-KU-08",2727,2727,2727,2658,2658,1872,1872
"29","Pa-KU-09",1722,1722,1722,1722,1722,514,514
"30","Pa-KU-10",3151,3151,3151,3151,3151,775,775
"31","Pa-KU-11",9755,9755,9755,9755,9755,8623,8623
"32","Pa-KU-12",6882,6882,6882,6882,6882,2188,2188
"33","Pa-KU-13",2428,2428,2428,2428,2428,1934,1934
"34","Pa-KU-14",4476,4476,4476,4469,4469,2414,2414
"35","Pa-KU-15",2579,2579,2579,2579,2579,126,126
"36","Pa-KU-16",3574,3574,3574,3427,3427,2473,2473
"37","Pa-KU-17",1761,1761,1761,1761,1761,579,579
