"","samples","raw_seqs","prefiltered_seqs","adaptorremoved_seqs","primerremoved_seqs","fractionOfRawDataInFinal_seqs"
"1","Pa-Blank-01_1.fastq.gz",31,27,27,27,0.870967741935484
"2","Pa-Blank-01_2.fastq.gz",31,27,27,27,0.870967741935484
"3","Pa-Blank-02_1.fastq.gz",16,16,16,16,1
"4","Pa-Blank-02_2.fastq.gz",16,16,16,16,1
"5","Pa-Blank-03_1.fastq.gz",17,12,12,12,0.705882352941177
"6","Pa-Blank-03_2.fastq.gz",17,12,12,12,0.705882352941177
"7","Pa-Blank-04_1.fastq.gz",51,44,44,44,0.862745098039216
"8","Pa-Blank-04_2.fastq.gz",51,44,44,44,0.862745098039216
"9","Pa-Blank-05_1.fastq.gz",120,94,94,94,0.783333333333333
"10","Pa-Blank-05_2.fastq.gz",120,94,94,94,0.783333333333333
"11","Pa-Blank-06_1.fastq.gz",9,8,8,8,0.888888888888889
"12","Pa-Blank-06_2.fastq.gz",9,8,8,8,0.888888888888889
"13","Pa-HA-01_1.fastq.gz",5192,5151,5151,5151,0.992103235747304
"14","Pa-HA-01_2.fastq.gz",5192,5151,5151,5151,0.992103235747304
"15","Pa-HA-02_1.fastq.gz",3794,3766,3766,3766,0.992619926199262
"16","Pa-HA-02_2.fastq.gz",3794,3766,3766,3766,0.992619926199262
"17","Pa-HA-03_1.fastq.gz",360,357,357,357,0.991666666666667
"18","Pa-HA-03_2.fastq.gz",360,357,357,357,0.991666666666667
"19","Pa-HA-04_1.fastq.gz",140,133,133,133,0.95
"20","Pa-HA-04_2.fastq.gz",140,133,133,133,0.95
"21","Pa-HA-05_1.fastq.gz",1191,1186,1186,1186,0.995801847187238
"22","Pa-HA-05_2.fastq.gz",1191,1186,1186,1186,0.995801847187238
"23","Pa-JO-01_1.fastq.gz",1594,1569,1569,1569,0.984316185696361
"24","Pa-JO-01_2.fastq.gz",1594,1569,1569,1569,0.984316185696361
"25","Pa-JO-02_1.fastq.gz",2230,2208,2208,2208,0.990134529147982
"26","Pa-JO-02_2.fastq.gz",2230,2208,2208,2208,0.990134529147982
"27","Pa-JO-03_1.fastq.gz",3547,3517,3517,3517,0.991542148294333
"28","Pa-JO-03_2.fastq.gz",3547,3517,3517,3517,0.991542148294333
"29","Pa-JO-04_1.fastq.gz",3290,3257,3257,3257,0.989969604863222
"30","Pa-JO-04_2.fastq.gz",3290,3257,3257,3257,0.989969604863222
"31","Pa-JO-05_1.fastq.gz",5564,5499,5499,5499,0.988317757009346
"32","Pa-JO-05_2.fastq.gz",5564,5499,5499,5499,0.988317757009346
"33","Pa-JO-06_1.fastq.gz",2675,2637,2637,2637,0.985794392523365
"34","Pa-JO-06_2.fastq.gz",2675,2637,2637,2637,0.985794392523365
"35","Pa-JO-07_1.fastq.gz",3525,3501,3501,3501,0.993191489361702
"36","Pa-JO-07_2.fastq.gz",3525,3501,3501,3501,0.993191489361702
"37","Pa-JO-08_1.fastq.gz",7227,7202,7202,7202,0.996540749965408
"38","Pa-JO-08_2.fastq.gz",7227,7202,7202,7202,0.996540749965408
"39","Pa-JO-09_1.fastq.gz",4631,4600,4600,4600,0.993305981429497
"40","Pa-JO-09_2.fastq.gz",4631,4600,4600,4600,0.993305981429497
"41","Pa-KU-01_1.fastq.gz",7011,6970,6970,6970,0.994152046783626
"42","Pa-KU-01_2.fastq.gz",7011,6970,6970,6970,0.994152046783626
"43","Pa-KU-02_1.fastq.gz",9182,9121,9121,9121,0.993356567196689
"44","Pa-KU-02_2.fastq.gz",9182,9121,9121,9121,0.993356567196689
"45","Pa-KU-03_1.fastq.gz",3395,3360,3360,3360,0.989690721649485
"46","Pa-KU-03_2.fastq.gz",3395,3360,3360,3360,0.989690721649485
"47","Pa-KU-04_1.fastq.gz",3947,3919,3919,3919,0.992906004560426
"48","Pa-KU-04_2.fastq.gz",3947,3919,3919,3919,0.992906004560426
"49","Pa-KU-05_1.fastq.gz",3377,3350,3350,3350,0.992004737933077
"50","Pa-KU-05_2.fastq.gz",3377,3350,3350,3350,0.992004737933077
"51","Pa-KU-06_1.fastq.gz",5667,5615,5615,5615,0.990824069172402
"52","Pa-KU-06_2.fastq.gz",5667,5615,5615,5615,0.990824069172402
"53","Pa-KU-07_1.fastq.gz",2967,2945,2945,2945,0.992585102797439
"54","Pa-KU-07_2.fastq.gz",2967,2945,2945,2945,0.992585102797439
"55","Pa-KU-08_1.fastq.gz",3823,3758,3758,3758,0.982997645827884
"56","Pa-KU-08_2.fastq.gz",3823,3758,3758,3758,0.982997645827884
"57","Pa-KU-09_1.fastq.gz",2071,2045,2045,2045,0.987445678416224
"58","Pa-KU-09_2.fastq.gz",2071,2045,2045,2045,0.987445678416224
"59","Pa-KU-10_1.fastq.gz",4119,4092,4092,4092,0.993445010924982
"60","Pa-KU-10_2.fastq.gz",4119,4092,4092,4092,0.993445010924982
"61","Pa-KU-11_1.fastq.gz",16645,16565,16565,16565,0.995193751877441
"62","Pa-KU-11_2.fastq.gz",16645,16565,16565,16565,0.995193751877441
"63","Pa-KU-12_1.fastq.gz",8012,7968,7968,7968,0.994508237643535
"64","Pa-KU-12_2.fastq.gz",8012,7968,7968,7968,0.994508237643535
"65","Pa-KU-13_1.fastq.gz",2873,2853,2853,2853,0.993038635572572
"66","Pa-KU-13_2.fastq.gz",2873,2853,2853,2853,0.993038635572572
"67","Pa-KU-14_1.fastq.gz",6359,6315,6315,6315,0.993080673061802
"68","Pa-KU-14_2.fastq.gz",6359,6315,6315,6315,0.993080673061802
"69","Pa-KU-15_1.fastq.gz",3140,3117,3117,3117,0.992675159235669
"70","Pa-KU-15_2.fastq.gz",3140,3117,3117,3117,0.992675159235669
"71","Pa-KU-16_1.fastq.gz",4579,4544,4544,4544,0.99235640969644
"72","Pa-KU-16_2.fastq.gz",4579,4544,4544,4544,0.99235640969644
"73","Pa-KU-17_1.fastq.gz",2440,2398,2398,2398,0.982786885245902
"74","Pa-KU-17_2.fastq.gz",2440,2398,2398,2398,0.982786885245902
"75","Pa-KU-18_1.fastq.gz",11924,11848,11848,11848,0.993626299899363
"76","Pa-KU-18_2.fastq.gz",11924,11848,11848,11848,0.993626299899363
"77","Pa-KU-19_1.fastq.gz",3242,3178,3178,3178,0.980259099321407
"78","Pa-KU-19_2.fastq.gz",3242,3178,3178,3178,0.980259099321407
"79","Pa-KU-20_1.fastq.gz",152,134,134,134,0.881578947368421
