,Island,Shannon
Ha-Po-01,Hantu,0.757497809132404
Ha-Po-02,Hantu,2.43412850237501
Ha-Po-03,Hantu,0.515099237351449
Ha-Po-04,Hantu,0.612805382348827
Ha-Po-05,Hantu,0.00545239192867939
Ha-Po-06,Hantu,0.00477322949085464
Ha-Po-07,Hantu,0.0118023621053734
Ha-Po-08,Hantu,0.762288665343597
Ha-Po-09,Hantu,0.0145561239468814
Ha-Po-10,Hantu,1.41171818444262
Ha-Po-11,Hantu,0.00528812227345173
Ha-Po-12,Hantu,0.00328171912328325
Ha-Po-13,Hantu,0.670044528749209
Ha-Po-14,Hantu,0.682968089898705
Ha-Po-15,Hantu,0.678000677759355
Ha-Po-16,Hantu,0.67516763851808
Ha-Po-17,Hantu,0.686857555376785
Ha-Po-18,Hantu,0.987809911126734
Ha-Po-19,Hantu,0.702099276690089
Ha-Po-20,Hantu,0.695926414300065
Jo-Po-01,Jong,0.999380815813004
Jo-Po-02,Jong,0.884270835303594
Jo-Po-03,Jong,0.699023407192085
Jo-Po-04,Jong,0.648600057721993
Jo-Po-05,Jong,0.688168570885086
Jo-Po-06,Jong,1.4188473365951
Jo-Po-07,Jong,0.00488182436234222
Jo-Po-08,Jong,0.00376760586581046
Jo-Po-09,Jong,0.987304536542715
Jo-Po-10,Jong,0.949284467004007
Jo-Po-11,Jong,0.995882661970099
Jo-Po-12,Jong,0.935394791663051
Jo-Po-13,Jong,0.828149848762971
Jo-Po-14,Jong,2.04616995694548
Jo-Po-15,Jong,0.778077076085661
Jo-Po-16,Jong,0.75880240589651
Jo-Po-17,Jong,1.0711272957306
Jo-Po-18,Jong,1.07372929634387
Jo-Po-19,Jong,0.796814479007269
Jo-Po-20,Jong,0.754881562767408
Ku-Po-01,Kusu,0.80776540606086
Ku-Po-02,Kusu,1.46069385926261
Ku-Po-03,Kusu,1.53989486878711
Ku-Po-04,Kusu,0.555370537968183
Ku-Po-05,Kusu,0.393181994793433
Ku-Po-06,Kusu,0.430601129408745
Ku-Po-07,Kusu,0.0295332742311373
Ku-Po-08,Kusu,1.40739228773231
Ku-Po-09,Kusu,1.31262167844571
Ku-Po-10,Kusu,1.19220756150876
Ku-Po-11,Kusu,1.17750736991122
Ku-Po-12,Kusu,1.24029678537782
Ku-Po-13,Kusu,1.25829535483679
Ku-Po-14,Kusu,1.03882586604271
Ku-Po-15,Kusu,1.21662468692925
Ku-Po-16,Kusu,1.06098797214393
Ku-Po-17,Kusu,1.20132630916919
Ku-Po-18,Kusu,1.11706862773108
Ku-Po-19,Kusu,1.08765557077718
Ku-Po-20,Kusu,0.332147365654273
Po-Blank-02,Blank,NA
Po-Blank-03,Blank,NA
Po-Blank-04,Blank,1.01140426470735
Po-Blank-05,Blank,0.70291893077351
Po-Blank-06,Blank,0.708346577706171
Po-Blank-07,Blank,0.0776419037344946
RL-Po-01,Raffles Lighthouse,0.712167131726718
RL-Po-02,Raffles Lighthouse,0.685423465678446
RL-Po-03,Raffles Lighthouse,0.110578797377421
RL-Po-04,Raffles Lighthouse,0.376770161256437
RL-Po-05,Raffles Lighthouse,0.603915300374276
RL-Po-06,Raffles Lighthouse,0.129423699753422
RL-Po-07,Raffles Lighthouse,0.60844708489741
RL-Po-08,Raffles Lighthouse,0.589047939395047
RL-Po-09,Raffles Lighthouse,0.615006002528698
RL-Po-10,Raffles Lighthouse,1.13866919535099
RL-Po-11,Raffles Lighthouse,1.07371204181307
RL-Po-12,Raffles Lighthouse,0.693147180559945
RL-Po-13,Raffles Lighthouse,0.729607746080763
RL-Po-14,Raffles Lighthouse,0.660578958620993
RL-Po-15,Raffles Lighthouse,0.522772478346366
RL-Po-16,Raffles Lighthouse,0.0922128877279575
RL-Po-17,Raffles Lighthouse,0.970013096340989
RL-Po-18,Raffles Lighthouse,0.915936709169892
RL-Po-19,Raffles Lighthouse,0.910733336447359
Se-Po-01,Semakau,0.653280918336669
Se-Po-02,Semakau,0.617962310164501
Se-Po-03,Semakau,0.553802258463013
Se-Po-04,Semakau,0.592016451654301
Se-Po-05,Semakau,0.64836564351752
Se-Po-06,Semakau,0.635166563596343
Se-Po-07,Semakau,0.630147645112717
Se-Po-09,Semakau,0.00217176831429198
Se-Po-10,Semakau,0.00424282045092023
Se-Po-11,Semakau,0.00272191661776982
Se-Po-12,Semakau,0.00464034714363364
Se-Po-13,Semakau,0.929324478940025
Se-Po-14,Semakau,1.10764876562428
Se-Po-15,Semakau,0.999659432460089
Se-Po-16,Semakau,0.93726229466236
Se-Po-17,Semakau,0.902487641205085
Se-Po-18,Semakau,0.95360667206527
Se-Po-19,Semakau,1.04773420746417
Se-Po-20,Semakau,1.04182470430781
SIS-Po-01,Sisters,0.00602109837627601
SIS-Po-02,Sisters,0.00749153104959138
SIS-Po-03,Sisters,0.00313091457295069
SIS-Po-04,Sisters,0.91812986780751
SIS-Po-05,Sisters,0.294146686780297
SIS-Po-06,Sisters,0.0173803018084087
SIS-Po-07,Sisters,0.0154455553191595
SIS-Po-08,Sisters,0.889881679659863
SIS-Po-09,Sisters,0.468659139390994
SIS-Po-10,Sisters,0.65128120741491
SIS-Po-11,Sisters,0.469624142262628
SIS-Po-12,Sisters,0.87317532562704
SIS-Po-13,Sisters,0.73002268325814
SIS-Po-14,Sisters,0.773998226756369
SIS-Po-15,Sisters,0.744278795290965
SIS-Po-16,Sisters,0.00340315028035182
SIS-Po-17,Sisters,0.00174619504957545
SIS-Po-18,Sisters,1.35486629019656
SIS-Po-19,Sisters,0.00492249403771717
SIS-Po-20,Sisters,0.00694318271008569
SS-Po-01A,Sultan Shoal,0.682745172074006
SS-Po-02A,Sultan Shoal,0.690618446449548
SS-Po-03A,Sultan Shoal,0.675696322748589
SS-Po-04A,Sultan Shoal,0.693622598740296
SS-Po-05A,Sultan Shoal,0.670369049059128
SS-Po-06A,Sultan Shoal,0.865907808412529
SS-Po-07A,Sultan Shoal,0.694015101493211
SS-Po-08A,Sultan Shoal,0.717481016085429
SS-Po-09A,Sultan Shoal,0.659609779519531
SS-Po-10A,Sultan Shoal,0.632961798108393
SS-Po-11A,Sultan Shoal,0.788881429154618
SS-Po-12A,Sultan Shoal,0.96251741558327
SS-Po-13A,Sultan Shoal,0.888003470888861
SS-Po-14A,Sultan Shoal,2.4131162415153
SS-Po-15A,Sultan Shoal,0.623030697309053
SS-Po-16A,Sultan Shoal,0.626764180747496
SS-Po-17A,Sultan Shoal,0.560958861108095
SS-Po-18A,Sultan Shoal,1.15250606359784
SS-Po-19A,Sultan Shoal,0.686166743490415
SS-Po-20A,Sultan Shoal,0.701704078258534
