"","Se-Po-20","SIS-Po-01"
"1",0,38439
"2",0,0
"3",0,0
"4",0,0
"5",0,0
"6",0,0
"7",16,0
"8",0,5
"9",0,0
"10",17958,0
"11",0,0
"12",0,6
"13",0,0
"14",2,6
"15",0,0
"16",0,0
"17",20550,0
"18",0,0
"19",0,0
"21",0,0
"22",0,0
"23",0,0
"24",0,2
"25",0,0
"26",0,0
"27",7079,0
"29",1,0
"30",0,0
"31",0,0
"32",0,1
"33",0,0
"34",191,0
"35",0,3
"37",0,0
"40",0,0
"41",0,0
"42",0,0
"44",0,0
"45",0,0
"46",1,0
"47",0,0
"48",0,0
"53",0,0
"60",0,0
"62",0,0
"64",0,0
"65",0,0
"69",0,0
"71",0,0
"72",0,0
"74",0,0
"75",0,0
"76",0,0
"77",0,0
"83",0,0
"87",0,0
"88",0,0
"94",0,0
"97",0,0
"102",0,0
"104",0,0
"114",0,0
"170",0,0
"241",0,0
"243",0,0
