,Sample <- row.names(meta),beforeLengthFilter,beforeDecontam,afterDecontam,fungiOnly,nonEmpty,afterPrevFilter,afterLocationFilter_Final
1,Ha-Po-01,19786,19786,19786,19786,19786,19344,19344
2,Ha-Po-02,29602,29602,29602,29210,29210,21972,21972
3,Ha-Po-03,17892,17892,17892,17892,17892,16737,16737
4,Ha-Po-04,15525,15525,15525,15525,15525,14173,14173
5,Ha-Po-05,57474,57474,57474,57474,57474,57471,57471
6,Ha-Po-06,60548,60548,60548,60548,60548,60548,60548
7,Ha-Po-07,25181,25181,25181,25181,25181,25166,25166
8,Ha-Po-08,57926,57926,57926,57926,57926,56513,56513
9,Ha-Po-09,59698,59698,59698,59698,59698,59681,59681
10,Ha-Po-10,34098,34098,34098,34098,34098,28932,28932
11,Ha-Po-11,66240,66240,66240,66240,66240,66223,66223
12,Ha-Po-12,49369,49369,49369,49369,49369,49318,49318
13,Ha-Po-13,49765,49765,49765,49765,49765,49743,49743
14,Ha-Po-14,55411,55411,55411,55411,55411,55391,55391
15,Ha-Po-15,40252,40252,40252,40252,40252,40250,40250
16,Ha-Po-16,48290,48290,48290,48290,48290,48093,48093
17,Ha-Po-17,28147,28147,28147,28147,28147,27562,27562
18,Ha-Po-18,40927,40927,40927,40927,40927,40166,40166
19,Ha-Po-19,49006,49006,49006,49006,49006,48811,48811
20,Ha-Po-20,47075,47075,47075,47075,47075,47075,47075
21,Jo-Po-01,9345,9345,9345,9345,9345,9165,9165
22,Jo-Po-02,24436,24436,24436,24436,24436,22990,22990
23,Jo-Po-03,33981,33981,33981,33981,33981,32798,32798
24,Jo-Po-04,50779,50779,50779,50779,50779,46997,46997
25,Jo-Po-05,28046,28046,28046,28046,28046,27187,27187
26,Jo-Po-06,29855,29855,29855,29855,29855,27392,27392
27,Jo-Po-07,57098,57098,57098,57098,57098,57080,57080
28,Jo-Po-08,55064,55064,55064,55064,55064,55064,55064
29,Jo-Po-09,39352,39352,39352,39352,39352,39352,39352
30,Jo-Po-10,41347,41347,41347,41347,41347,41339,41339
31,Jo-Po-11,61293,61293,61293,61293,61293,61209,61209
32,Jo-Po-12,42579,42579,42579,42579,42579,42547,42547
