"","input","filtered","nonchim","total.loss.proportion"
"Ha-Po-01",22614,20313,19786,0.101751127620058
"Ha-Po-02",35232,30397,29602,0.137233197093551
"Ha-Po-03",19896,17892,17892,0.100723763570567
"Ha-Po-04",17840,15525,15525,0.129764573991031
"Ha-Po-05",66741,57474,57474,0.138850182047018
"Ha-Po-06",69149,60548,60548,0.124383577492082
"Ha-Po-07",29157,25181,25181,0.136365195321878
"Ha-Po-08",68634,60360,57926,0.120552495847539
"Ha-Po-09",68248,59698,59698,0.125278396436526
"Ha-Po-10",38922,34287,34098,0.119084322491136
"Ha-Po-11",75253,66240,66240,0.119769311522464
"Ha-Po-12",56030,49369,49369,0.118882741388542
"Ha-Po-13",57662,51534,49765,0.106274496202005
"Ha-Po-14",63832,57660,55411,0.0966913147010904
"Ha-Po-15",47283,41355,40252,0.125372755535816
"Ha-Po-16",55991,49649,48290,0.113268203818471
"Ha-Po-17",31164,28400,28147,0.0886920806058272
"Ha-Po-18",46090,40978,40927,0.110913430245172
"Ha-Po-19",55378,49006,49006,0.115063743724945
"Ha-Po-20",52553,47075,47075,0.104237626776778
"Jo-Po-01",11010,9392,9345,0.146957311534968
"Jo-Po-02",28370,24997,24436,0.118893197039126
"Jo-Po-03",44071,37662,33981,0.145424428762678
"Jo-Po-04",62700,55837,50779,0.109457735247209
"Jo-Po-05",35216,30415,28046,0.136330077237619
"Jo-Po-06",35469,30999,29855,0.126025543432293
"Jo-Po-07",65873,57098,57098,0.1332108754725
"Jo-Po-08",62068,55064,55064,0.112843977572984
"Jo-Po-09",51343,44727,39352,0.128858851255283
"Jo-Po-10",52815,46745,41347,0.114929470794282
"Jo-Po-11",81010,70364,61293,0.131415874583385
"Jo-Po-12",54216,46805,42579,0.136693964881216
"Jo-Po-13",60253,51353,46320,0.147710487444609
"Jo-Po-14",72380,63853,59551,0.117808786957723
"Jo-Po-15",64927,56691,51261,0.126850154789225
"Jo-Po-16",57383,48996,44618,0.146158269870868
"Jo-Po-17",85482,76010,64312,0.110806953510681
"Jo-Po-18",60605,54027,45664,0.10853889943074
"Jo-Po-19",26862,23305,23062,0.132417541508451
"Jo-Po-20",58604,51486,44070,0.121459286055559
"Ku-Po-01",4631,3489,3489,0.246599006694019
"Ku-Po-02",11876,9888,9791,0.167396429774335
"Ku-Po-03",10600,7173,7173,0.323301886792453
"Ku-Po-04",36359,32075,31867,0.117825022690393
"Ku-Po-05",21426,19114,18997,0.107906282087184
"Ku-Po-06",7174,5525,5525,0.229857819905213
"Ku-Po-07",46330,39700,39697,0.143103820418735
"Ku-Po-08",46455,39144,39144,0.157378107846303
"Ku-Po-09",34103,29616,28848,0.131572002463126
"Ku-Po-10",53730,46885,45733,0.127396240461567
"Ku-Po-11",52746,45744,44756,0.132749402798316
"Ku-Po-12",46992,41986,40852,0.106528770854614
"Ku-Po-13",59484,52466,50938,0.117981305897384
"Ku-Po-14",50850,43885,43398,0.136971484759095
"Ku-Po-15",62783,55095,49385,0.122453530414284
"Ku-Po-16",54214,48970,45653,0.0967277824916073
"Ku-Po-17",59753,53230,47779,0.109166066975717
"Ku-Po-18",70080,61483,57163,0.122674086757991
"Ku-Po-19",60309,53318,49781,0.115919680313054
"Ku-Po-20",20069,17820,17582,0.112063381334396
"Po-Blank-02",8,4,4,0.5
"Po-Blank-03",6,3,3,0.5
"Po-Blank-04",25,7,7,0.72
"Po-Blank-05",29,16,16,0.448275862068966
"Po-Blank-06",51,21,20,0.588235294117647
